incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident description,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001519988,IBERIA,IBERIA,23/04/2021 21:29,,Assigned,Fallo Software: no se abre el outlook,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,8,XRY AEROPUERTO,JEREZ PASAJEROS (AHASX0AP)
INC000001519972,IBERIA,IBERIA,23/04/2021 19:41,,Assigned,Fallo Software: Acceso a Carpeta ESCANER inop ¿?,Soporte Equipos Multifuncion,Equipos Multifunción,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,8,SIN IDENTIFICAR (BARCELONA),SOPORTE MATERIALES BCN (AMICI0BC)
INC000001519968,IBERIA,IBERIA,23/04/2021 18:52,,Assigned,[SEG010] Usuario fallo sincronía,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Baja,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-26T00:00:00Z,ACCESS FAILURE,PASSWORD,8,TALLER MOTORES,PLASMA SPRAY (AMITP0BD)
INC000001519948,IBERIA,IBERIA,24/04/2021 09:38,,Assigned,Usuario en dominio Delegaciones por error,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-29T00:00:00Z,ACCESS FAILURE,,7,SIN IDENTIFICAR (BARCELONA),SOPORTE MATERIALES BCN (AMICI0BC)
INC000001519944,IBERIA,IBERIA,24/04/2021 08:14,,Assigned,[ICC002] claims automation issues,Soporte Externo Customer Insight,Delivery,Delivery,Media,,Mantenimiento Comercial y CRM,INCIDENT,2021-04-26T00:00:00Z,SOFTWARE FAILURE,,7,NEO-MARTINEZ VILLERGAS 49,CUSTOMER CENTER B2B & CLA (BCLMI0)
INC000001519844,IAG CARGO,IAG GBS,23/04/2021 17:20,,Pending,[OPTIMA] Clarification on booking reject,CARGO-OPTIMA ACN,Application Tower,CARGO,Media,"4.28-[OPTIMA]-User wants to know why the flights were offered . Pending with AFLS 4.28-AFLS updated that as per the earlier clarification the booking was failed under the restriction type Airport connection time but not failed due to transit, it was rejected due to the minimum clearance time which did not meet in destination airport which is BOM, at least we need 90 mins after arrival in BOM.",Mantenimiento Cargo,INCIDENT,2021-04-28T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,8,IAG GBS,
INC000001519839,IBERIA,IBERIA,23/04/2021 17:20,,Pending,[IMH001] Problema pistola en Taller de plastico,IAG SITA Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,8,EDIFICIO T.M.A. - ALMACENES,TALLERES MATERIALES COMPU (AMIRT00B)
INC000001519806,IBERIA,IBERIA,23/04/2021 15:38,,Assigned,[ICC002] Hi there is an issue with the recent feature uploaded of damaged baggage,Soporte Externo Salesforce Service,Delivery,Delivery,Media,,Mantenimiento Comercial y CRM,INCIDENT,2021-04-26T00:00:00Z,SOFTWARE FAILURE,,8,NEO-MARTINEZ VILLERGAS 49,CRM & MARKETING AUTOMATIO (BCLCI0)
INC000001519767,IBERIA,IBERIA,23/04/2021 13:24,,Assigned,LINUX_sun - Agente PATROL Parado. LINUX_sun - Comprobando conectividad con agente Patrol en el serv,Servidores,Server Tower,Server Tower,Media,,Unidad de Arquitecturas de Sistemas,INCIDENT,2021-04-23T00:00:00Z,PERFORMANCE ISSUE,,8,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001519755,IBERIA,IBERIA,23/04/2021 12:43,,Assigned,Fallo Software:Error en usuario de O365 (enoel@iberia.es),MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Baja,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,8,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),CUSTOMER CENTER B2C (ALCO00)
INC000001519753,IBERIA,IBERIA,23/04/2021 12:32,,In Progress,[SVU006] Faltan los datos de SAL en el vuelo MAD GUA SAL,Flight OPS IB,Application Tower,FLIGHT OPERATIONS,Baja,,Mantenimiento Operaciones,INCIDENT,2021-04-27T00:00:00Z,DATA ISSUE,,8,NEO-MARTINEZ VILLERGAS 49,OFICINA TÉCNICA Y APOYO (AVT000)
INC000001519709,IBERIA,IBERIA,23/04/2021 15:11,,Pending,Date validation error in Order status XML,MRO_ELS,Delivery,Mantenimiento Dir. Técnica – MRO,Baja,,Mantenimiento Dir. Técnica,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,8,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001519688,IAG CARGO,IAG CARGO,23/04/2021 14:36,,Pending,[OPTIMA] Booking not created AWB: 125-91991594,CARGO-OPTIMA ACN,Application Tower,CARGO,Media,4.28-[OPTIMA]-Chaser sent to AFLS,Mantenimiento Cargo,INCIDENT,2021-04-28T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,8,SIN IDENTIFICAR (LHR/NewBusCntr/S122),
INC000001519658,IBERIA,IBERIA,23/04/2021 11:36,,Pending,Incidencia en impresora. INCIDENCIA MAQUINA ETIQUETAS EQUIPAJE MOSTRADOR 9,AIRPORT2,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,2021-04-29T00:00:00Z,PRINTING FAILURE,,8,PNA AEROPUERTO,POLIVALENCIA PNA PAX (AHAIN0PZ)
INC000001519622,IBERIA,IBERIA,23/04/2021 10:50,,Pending,Revisión antivirus: Mensaje de Virus,ANTIVIRUS,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,PERFORMANCE ISSUE,HANG,8,NEO-MARTINEZ VILLERGAS 49,INCIDENCIAS Y SEGUIMIENTO (APSI00)
INC000001519612,IBERIA,IBERIA,23/04/2021 10:23,,Pending,"Fallo Software:El ordenador de la sala de llegadas no tiene conexión a internet,",IAG SITA Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,8,PNA AEROPUERTO,POLIVALENCIA PNA PAX (AHAIN0PZ)
INC000001519569,IBERIA,IBERIA,23/04/2021 08:56,,In Progress,[IMM003]Regularización Stock,USV_DGMI,Application Tower,Mantenimiento Dir. Técnica – MRO,Baja,,Mantenimiento Dir. Técnica,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,8,TALLER MOTORES,OPERACIONES ALMACÉN (AMRF01)
INC000001519545,IBERIA,IBERIA,23/04/2021 11:48,,Assigned,"Fallo en Iberia Now, no actuliza calendario.",AIRPORT2_GEO001_EXT,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,8,SIN IDENTIFICAR (BARCELONA),RAMPA BARCELONA (AHABU0RA)
INC000001519544,IBERIA,IBERIA,23/04/2021 10:57,,Pending,Fallo en Iberia Now,MOVILIDAD,Application Tower,Movilidad,Baja,,Mantenimiento Movilidad,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,8,EN EL AVIÓN - A340,FLOTA A340 Pilotos (AVVIL0A1)
INC000001519538,IBERIA,IBERIA,23/04/2021 10:46,,Assigned,Fallo Software:inicio de puesto (ordenador),MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-23T00:00:00Z,SOFTWARE FAILURE,,8,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),INSPECTORES ALEATORIOS HM (AM70HYAL)
INC000001519521,IBERIA,IBERIA,23/04/2021 09:53,,Assigned,Pagos con PINPAD en aeropuertos no emiten emds,APP_WAR_PSS-BASELINE,Delivery,Delivery,Media,,Mantenimiento Pasaje,INCIDENT,2021-04-28T00:00:00Z,SOFTWARE FAILURE,,8,SIN IDENTIFICAR,
INC000001519513,IBERIA,IBERIA,23/04/2021 10:02,,Pending,COMPARTIR ENLACE EN SHAREPOIN,MICROSOFT OFFICE365,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-28T00:00:00Z,ACCESS FAILURE,,8,SIN IDENTIFICAR,
INC000001519505,IBERIA,IBERIA,23/04/2021 09:04,,Pending,TARDE Fallo Software: error de funcionamiento en la aplicación SILTRA,IAG EUC Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-23T00:00:00Z,SOFTWARE FAILURE,,8,BCN AEROPUERTO,PLANIFICACION CONTROL BCN (AHABP0YP)
INC000001519466,IBERIA,IBERIA,23/04/2021 08:24,,Pending,[PORTAL EMPLEADO],MOVILIDAD,Application Tower,Movilidad,Baja,,Mantenimiento Movilidad,INCIDENT,2021-04-26T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,8,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LR SOBRE (ABLY0001)
INC000001519464,IBERIA,IBERIA,23/04/2021 07:16,,In Progress,MFA Multifactor authentication - Ping ID: Problemas con VPN,WNS Team,UNKNOW,UNKNOW,Media,Device has been unpaired and notified the user of the same.,Unidad Seguridad Informática,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,8,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),OEM (AMIRC3)
INC000001519378,IBERIA,IBERIA,22/04/2021 18:18,,Pending,Fallo en Iberia Now,MOVILIDAD,Application Tower,Movilidad,Media,,Mantenimiento Movilidad,INCIDENT,2021-04-27T00:00:00Z,SOFTWARE FAILURE,,9,SIN IDENTIFICAR (VUELO),FLOTA A340 (AVVIL0A0)
INC000001519377,IBERIA,IBERIA,22/04/2021 17:47,,Assigned,"Mails not received on group mail id ""OIM/OAM/OIF/OSB/OVD Apps Sup"" <identity.support@iberia.es>",MICROSOFT OFFICE365,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-27T00:00:00Z,ACCESS FAILURE,,9,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001519305,IBERIA,IBERIA,22/04/2021 17:24,,In Progress,Fallo Peoplesoft: Contadores de 2020 mal para el número 010170,PeopleSoft Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-29T00:00:00Z,DATA ISSUE,,9,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),SM SOPORTE A LA OP_CTROL (AMIC00CP)
INC000001519277,IBERIA,IBERIA,22/04/2021 15:01,,Pending,investigar diversos relativos a la cumplimentación de la tabla TBDPCPR.,USCIBMAM,Application Tower,Cobol Domain,Baja,Se envía correo a usuario.,Mantenimiento COBOL,INCIDENT,2021-04-28T00:00:00Z,ACCESS FAILURE,,9,EDIF.110 - ALMACENES GENERALES,RESP. CTROL ING Y GEST. A (3KEMI0)
INC000001519274,IBERIA,IBERIA,22/04/2021 14:49,,Pending,Fallo Software:,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,9,SIN IDENTIFICAR (SAO PAULO),P.LOC.GER.BRASIL SAO PAUL (AMNLR0ZO)
INC000001519262,IBERIA,IBERIA,22/04/2021 14:47,,Pending,Fallo Software: Lost basic configuration,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,9,SIN IDENTIFICAR (SAO PAULO),P.LOC.GER.BRASIL SAO PAUL (AMNLR0ZO)
INC000001519253,IBERIA EXPRESS,IBERIA EXPRESS,22/04/2021 13:51,,Pending,Problemas Teléfono Duty Manager,Cabling Maintenance,Network Tower,Network Tower,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-26T00:00:00Z,TELEPHONY FAILURE,,9,SIN IDENTIFICAR,
INC000001519249,IBERIA,IBERIA,22/04/2021 15:59,,Pending,LINUX_sun - bdl2.ib : Filesystem sisiata esta ocupado al 90.02%. Abrir incidencia al grupo Servicios,USCABAM,Application Tower,Cobol Domain,Baja,,Mantenimiento Financiero,INCIDENT,2021-04-30T00:00:00Z,PROCESS FAILURE,,9,SIN IDENTIFICAR,
INC000001519242,IBERIA,IBERIA,22/04/2021 15:42,,Pending,"Incidencia en impresora. no imprime tiquetas de equipaje (mostrador 8 facturación, Pamplona)",AIRPORT2,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,2021-04-27T00:00:00Z,PRINTING FAILURE,,9,PNA AEROPUERTO,POLIVALENCIA PNA PAX (AHAIN0PZ)
INC000001519203,IBERIA,IBERIA,22/04/2021 13:57,,Pending,IBPROXIMA - ibnow,Mobiles,Network Tower,Network Tower,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-23T00:00:00Z,SOFTWARE FAILURE,,9,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001519197,IBERIA,IBERIA,22/04/2021 13:34,,Pending,No puede acceder a exchange con el teléfono móvil,Mobiles,Network Tower,Network Tower,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-23T00:00:00Z,TELEPHONY FAILURE,DEVICE,9,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001519196,IBERIA,IBERIA,22/04/2021 13:43,,Pending,[Reloj Presencia] NO PUEDE FICHAR,JAVA Apps Support,Application Tower,RRHH,Media,waiting for reply from Laury,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-27T00:00:00Z,ACCESS FAILURE,,9,PMI AEROPUERTO,COORDINACION Y CONTROL PM (AHAKS0C0)
INC000001519173,IBERIA,IBERIA,22/04/2021 15:41,,Pending,"Incidencia en impresora. No imprime tarjetas de embarque. (mostrador 7 facturación, Pamplona)",AIRPORT2,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,2021-04-30T00:00:00Z,PRINTING FAILURE,,9,PNA AEROPUERTO,POLIVALENCIA PNA PAX (AHAIN0PZ)
INC000001519106,IBERIA,IBERIA,22/04/2021 11:22,,Assigned,Incidencia TKT,SERVICIOSRESIBER,Application Tower,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,9,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),CUSTOMER CENTER B2B & CLA (ALCO00CP)
INC000001519105,IBERIA,IBERIA,22/04/2021 11:19,,Assigned,El importe pagado es la mitad del que debería ser,RESIBER GARANTIA CKI,Delivery,Delivery,Media,,Mantenimiento Pasaje,INCIDENT,2021-04-22T00:00:00Z,DEFAULT,DEFAULT,9,SIN IDENTIFICAR,
INC000001519096,IBERIA,IBERIA,22/04/2021 11:01,,Assigned,Fallo Software:Incidencia Planning CIC en KATE,MICROSOFT OFFICE365,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-23T00:00:00Z,SOFTWARE FAILURE,,9,BCN AEROPUERTO,CTROL OPERATIVO Y CORDINA (AHABC0)
INC000001518999,OTHERS,IAG GBS,22/04/2021 09:58,,Pending,[GLE001] SAP CFS - SAPGUI Password,BA_ITSC NEW,Service Ops Tower,Service Ops Tower,Baja,,Unidad Control del Servicio,INCIDENT,2021-04-28T00:00:00Z,ACCESS FAILURE,PASSWORD RESET,9,IAG GBS,
INC000001518992,IBERIA,IBERIA,22/04/2021 10:00,,In Progress,MFA Multifactor authentication - Ping ID: Desemparejar dispositivo,WNS Team,UNKNOW,UNKNOW,Media,,Unidad Seguridad Informática,INCIDENT,2021-04-22T00:00:00Z,SOFTWARE FAILURE,,9,SIN IDENTIFICAR,
INC000001518959,IBERIA,IBERIA,22/04/2021 08:04,,Pending,Fallo Software: Error set up internet explorer equipo G00D861299E58,MRO-MANTENIMIENTO TERCEROS,Application Tower,Mantenimiento Dir. Técnica – MRO,Media,,Mantenimiento Dir. Técnica,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,9,TALLER MOTORES,OPERACIONES DE STOCK (AMITJ1)
INC000001518958,IBERIA,IBERIA,22/04/2021 08:28,,Pending,Fallo Software: viene de INC000001504408 problemas con outlook,IAG EUC Remote Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,9,SIN IDENTIFICAR (BARCELONA),SOPORTE MATERIALES BCN (AMICI0BC)
